Metric;Value
Total Drivers;166
FTE Drivers;107
PT Drivers;59
Total Hours;6232.5
FTE Hours Avg;46.51
FTE Hours Min;40.5
FTE Hours Max;49.5
Blocks Selected;744
Blocks 3er;89
Blocks 2er;463
Blocks 1er;192
Fleet Peak Vehicles;116
Fleet Peak Day;Sat
Fleet Peak Time;10:00
