Day;Peak Vehicles;Peak Time;Is Global Peak
Mon;105;09:00;No
Tue;79;18:00;No
Wed;76;18:15;No
Thu;74;08:45;No
Fri;113;18:30;Yes
Sat;111;09:15;No
