Day;Peak Vehicles;Peak Time;Is Global Peak
Mon;110;09:15;No
Tue;81;18:15;No
Wed;77;18:30;No
Thu;76;18:30;No
Fri;116;18:30;No
Sat;116;10:00;Yes
