Driver ID;Type;Weekly Hours;Mon;Tue;Wed;Thu;Fri;Sat
PT030;PT;13,50;08:15-12:45 (1er);;;;08:15-12:45 (1er);05:45-10:15 (1er)
PT038;PT;13,50;15:15-19:45 (1er);;;;08:30-22:30 (2er (Split));
PT039;PT;13,50;15:15-19:45 (1er);;;;08:30-22:30 (2er (Split));
PT001;PT;9,00;;;;;05:30-19:30 (2er (Split));
PT004;PT;9,00;;;;;06:00-20:00 (2er (Split));
PT005;PT;9,00;;;;;06:00-20:00 (2er (Split));
PT006;PT;9,00;;;;;06:00-20:00 (2er (Split));
PT007;PT;9,00;;;;;06:00-20:00 (2er (Split));
PT010;PT;9,00;;;;;06:15-19:15 (2er (Split));
PT011;PT;9,00;;;;;07:00-20:00 (2er (Split));
PT012;PT;9,00;;;;;07:00-20:00 (2er (Split));
PT017;PT;9,00;;;;;08:45-22:45 (2er (Split));
PT031;PT;9,00;11:45-16:15 (1er);;;;;05:45-10:15 (1er)
