driver_id,driver_type,day,duty_id,duty_start,duty_end,tour_ids,work_min,hours,days_worked
D_PT001,PT,0,seed_s_T_0_210_2,210,480,T_0_210_2,270,4.5,1
D_PT002,PT,0,seed_s_T_0_240_1,240,510,T_0_240_1,270,4.5,1
D_PT003,PT,0,seed_s_T_0_270_1,270,540,T_0_270_1,270,4.5,1
D_PT004,PT,0,seed_s_T_0_270_2,270,540,T_0_270_2,270,4.5,1
D_PT005,PT,0,seed_s_T_0_300_1,300,570,T_0_300_1,270,4.5,1
D_PT006,PT,0,seed_s_T_0_300_2,300,570,T_0_300_2,270,4.5,1
D_PT007,PT,0,seed_s_T_0_300_4,300,570,T_0_300_4,270,4.5,1
D_PT008,PT,0,seed_s_T_0_300_6,300,570,T_0_300_6,270,4.5,1
D_PT009,PT,0,seed_s_T_0_300_7,300,570,T_0_300_7,270,4.5,1
D_PT010,PT,0,seed_s_T_0_300_9,300,570,T_0_300_9,270,4.5,1
D_PT011,PT,0,seed_s_T_0_315_4,315,585,T_0_315_4,270,4.5,1
D_PT012,PT,0,seed_s_T_0_315_5,315,585,T_0_315_5,270,4.5,1
D_PT013,PT,0,seed_s_T_0_330_1,330,600,T_0_330_1,270,4.5,1
D_PT014,PT,0,seed_s_T_0_330_2,330,600,T_0_330_2,270,4.5,1
D_PT015,PT,0,seed_s_T_0_330_4,330,600,T_0_330_4,270,4.5,1
D_PT016,PT,0,seed_s_T_0_330_9,330,600,T_0_330_9,270,4.5,1
D_PT017,PT,0,seed_s_T_0_330_10,330,600,T_0_330_10,270,4.5,1
D_PT018,PT,0,seed_s_T_0_345_1,345,615,T_0_345_1,270,4.5,1
D_PT019,PT,0,seed_s_T_0_345_2,345,615,T_0_345_2,270,4.5,1
D_PT020,PT,0,seed_s_T_0_345_3,345,615,T_0_345_3,270,4.5,1
D_PT021,PT,0,seed_s_T_0_345_5,345,615,T_0_345_5,270,4.5,1
D_PT022,PT,0,seed_s_T_0_345_8,345,615,T_0_345_8,270,4.5,1
D_PT023,PT,0,seed_s_T_0_345_11,345,615,T_0_345_11,270,4.5,1
D_PT024,PT,0,seed_s_T_0_360_1,360,630,T_0_360_1,270,4.5,1
D_PT025,PT,0,seed_s_T_0_360_3,360,630,T_0_360_3,270,4.5,1
D_PT026,PT,0,seed_s_T_0_360_4,360,630,T_0_360_4,270,4.5,1
D_PT027,PT,0,seed_s_T_0_390_2,390,660,T_0_390_2,270,4.5,1
D_PT028,PT,0,seed_s_T_0_390_3,390,660,T_0_390_3,270,4.5,1
D_PT029,PT,0,seed_s_T_0_390_4,390,660,T_0_390_4,270,4.5,1
D_PT030,PT,0,seed_s_T_0_390_5,390,660,T_0_390_5,270,4.5,1
D_PT031,PT,0,seed_s_T_0_390_6,390,660,T_0_390_6,270,4.5,1
D_PT032,PT,0,seed_s_T_0_390_7,390,660,T_0_390_7,270,4.5,1
D_PT033,PT,0,seed_s_T_0_390_8,390,660,T_0_390_8,270,4.5,1
D_PT034,PT,0,seed_s_T_0_390_9,390,660,T_0_390_9,270,4.5,1
D_PT035,PT,0,seed_s_T_0_390_10,390,660,T_0_390_10,270,4.5,1
D_PT036,PT,0,seed_s_T_0_390_11,390,660,T_0_390_11,270,4.5,1
D_PT037,PT,0,seed_s_T_0_405_1,405,675,T_0_405_1,270,4.5,1
D_PT038,PT,0,seed_s_T_0_405_2,405,675,T_0_405_2,270,4.5,1
D_PT039,PT,0,seed_s_T_0_405_3,405,675,T_0_405_3,270,4.5,1
D_PT040,PT,0,seed_s_T_0_405_4,405,675,T_0_405_4,270,4.5,1
D_PT041,PT,0,seed_s_T_0_405_5,405,675,T_0_405_5,270,4.5,1
D_PT042,PT,0,seed_s_T_0_405_7,405,675,T_0_405_7,270,4.5,1
D_PT043,PT,0,seed_s_T_0_405_9,405,675,T_0_405_9,270,4.5,1
D_PT044,PT,0,seed_s_T_0_405_10,405,675,T_0_405_10,270,4.5,1
D_PT045,PT,0,seed_s_T_0_405_11,405,675,T_0_405_11,270,4.5,1
D_PT046,PT,0,seed_s_T_0_420_1,420,690,T_0_420_1,270,4.5,1
D_PT047,PT,0,seed_s_T_0_420_3,420,690,T_0_420_3,270,4.5,1
D_PT048,PT,0,seed_s_T_0_420_4,420,690,T_0_420_4,270,4.5,1
D_PT049,PT,0,seed_s_T_0_420_5,420,690,T_0_420_5,270,4.5,1
D_PT050,PT,0,seed_s_T_0_420_6,420,690,T_0_420_6,270,4.5,1
D_PT051,PT,0,seed_s_T_0_435_2,435,705,T_0_435_2,270,4.5,1
D_PT052,PT,0,seed_s_T_0_450_2,450,720,T_0_450_2,270,4.5,1
D_PT053,PT,0,seed_s_T_0_480_2,480,750,T_0_480_2,270,4.5,1
D_PT054,PT,0,seed_s_T_0_495_1,495,765,T_0_495_1,270,4.5,1
D_PT055,PT,0,seed_s_T_0_495_3,495,765,T_0_495_3,270,4.5,1
D_PT056,PT,0,seed_s_T_0_495_4,495,765,T_0_495_4,270,4.5,1
D_PT057,PT,0,seed_s_T_0_495_5,495,765,T_0_495_5,270,4.5,1
D_PT058,PT,0,seed_s_T_0_495_6,495,765,T_0_495_6,270,4.5,1
D_PT059,PT,0,seed_s_T_0_495_9,495,765,T_0_495_9,270,4.5,1
D_PT060,PT,0,seed_s_T_0_510_4,510,780,T_0_510_4,270,4.5,1
D_PT061,PT,0,seed_s_T_0_510_5,510,780,T_0_510_5,270,4.5,1
D_PT062,PT,0,seed_s_T_0_525_1,525,795,T_0_525_1,270,4.5,1
D_PT063,PT,0,seed_s_T_0_525_2,525,795,T_0_525_2,270,4.5,1
D_PT064,PT,0,seed_s_T_0_525_3,525,795,T_0_525_3,270,4.5,1
D_PT065,PT,0,seed_s_T_0_525_5,525,795,T_0_525_5,270,4.5,1
D_PT066,PT,0,seed_s_T_0_525_6,525,795,T_0_525_6,270,4.5,1
D_PT067,PT,0,seed_s_T_0_525_9,525,795,T_0_525_9,270,4.5,1
D_PT068,PT,0,seed_s_T_0_525_10,525,795,T_0_525_10,270,4.5,1
D_PT069,PT,0,seed_s_T_0_570_2,570,840,T_0_570_2,270,4.5,1
D_PT070,PT,0,seed_s_T_0_585_2,585,855,T_0_585_2,270,4.5,1
D_PT071,PT,0,seed_s_T_0_585_4,585,855,T_0_585_4,270,4.5,1
D_PT072,PT,0,seed_s_T_0_585_5,585,855,T_0_585_5,270,4.5,1
D_PT073,PT,0,seed_s_T_0_585_6,585,855,T_0_585_6,270,4.5,1
D_PT074,PT,0,seed_s_T_0_585_9,585,855,T_0_585_9,270,4.5,1
D_PT075,PT,0,seed_s_T_0_615_3,615,885,T_0_615_3,270,4.5,1
D_PT076,PT,0,seed_s_T_0_615_9,615,885,T_0_615_9,270,4.5,1
D_PT077,PT,0,seed_s_T_0_630_1,630,900,T_0_630_1,270,4.5,1
D_PT078,PT,0,seed_s_T_0_630_2,630,900,T_0_630_2,270,4.5,1
D_PT079,PT,0,seed_s_T_0_630_4,630,900,T_0_630_4,270,4.5,1
D_PT080,PT,0,seed_s_T_0_645_2,645,915,T_0_645_2,270,4.5,1
D_PT081,PT,0,seed_s_T_0_660_3,660,930,T_0_660_3,270,4.5,1
D_PT082,PT,0,seed_s_T_0_660_5,660,930,T_0_660_5,270,4.5,1
D_PT083,PT,0,seed_s_T_0_660_6,660,930,T_0_660_6,270,4.5,1
D_PT084,PT,0,seed_s_T_0_675_1,675,945,T_0_675_1,270,4.5,1
D_PT085,PT,0,seed_s_T_0_675_2,675,945,T_0_675_2,270,4.5,1
D_PT086,PT,0,seed_s_T_0_675_3,675,945,T_0_675_3,270,4.5,1
D_PT087,PT,0,seed_s_T_0_675_4,675,945,T_0_675_4,270,4.5,1
D_PT088,PT,0,seed_s_T_0_690_1,690,960,T_0_690_1,270,4.5,1
D_PT089,PT,0,seed_s_T_0_690_4,690,960,T_0_690_4,270,4.5,1
D_PT090,PT,0,seed_s_T_0_690_5,690,960,T_0_690_5,270,4.5,1
D_PT091,PT,0,seed_s_T_0_690_7,690,960,T_0_690_7,270,4.5,1
D_PT092,PT,0,seed_s_T_0_690_8,690,960,T_0_690_8,270,4.5,1
D_PT093,PT,0,seed_s_T_0_690_10,690,960,T_0_690_10,270,4.5,1
D_PT094,PT,0,seed_s_T_0_705_2,705,975,T_0_705_2,270,4.5,1
D_PT095,PT,0,seed_s_T_0_705_4,705,975,T_0_705_4,270,4.5,1
D_PT096,PT,0,seed_s_T_0_720_2,720,990,T_0_720_2,270,4.5,1
D_PT097,PT,0,seed_s_T_0_750_1,750,1020,T_0_750_1,270,4.5,1
D_PT098,PT,0,seed_s_T_0_765_2,765,1035,T_0_765_2,270,4.5,1
D_PT099,PT,0,seed_s_T_0_795_2,795,1065,T_0_795_2,270,4.5,1
D_PT100,PT,0,seed_s_T_0_795_4,795,1065,T_0_795_4,270,4.5,1
D_PT101,PT,0,seed_s_T_0_810_1,810,1080,T_0_810_1,270,4.5,1
D_PT102,PT,0,seed_s_T_0_810_4,810,1080,T_0_810_4,270,4.5,1
D_PT103,PT,0,seed_s_T_0_840_1,840,1110,T_0_840_1,270,4.5,1
D_PT104,PT,0,seed_s_T_0_840_3,840,1110,T_0_840_3,270,4.5,1
D_PT105,PT,0,seed_s_T_0_840_6,840,1110,T_0_840_6,270,4.5,1
D_PT106,PT,0,seed_s_T_0_855_1,855,1125,T_0_855_1,270,4.5,1
D_PT107,PT,0,seed_s_T_0_855_5,855,1125,T_0_855_5,270,4.5,1
D_PT108,PT,0,seed_s_T_0_855_6,855,1125,T_0_855_6,270,4.5,1
D_PT109,PT,0,seed_s_T_0_870_2,870,1140,T_0_870_2,270,4.5,1
D_PT110,PT,0,seed_s_T_0_870_3,870,1140,T_0_870_3,270,4.5,1
D_PT111,PT,0,seed_s_T_0_870_4,870,1140,T_0_870_4,270,4.5,1
D_PT112,PT,0,seed_s_T_0_870_5,870,1140,T_0_870_5,270,4.5,1
D_PT113,PT,0,seed_s_T_0_870_6,870,1140,T_0_870_6,270,4.5,1
D_PT114,PT,0,seed_s_T_0_870_8,870,1140,T_0_870_8,270,4.5,1
D_PT115,PT,0,seed_s_T_0_870_9,870,1140,T_0_870_9,270,4.5,1
D_PT116,PT,0,seed_s_T_0_885_1,885,1155,T_0_885_1,270,4.5,1
D_PT117,PT,0,seed_s_T_0_885_2,885,1155,T_0_885_2,270,4.5,1
D_PT118,PT,0,seed_s_T_0_885_4,885,1155,T_0_885_4,270,4.5,1
D_PT119,PT,0,seed_s_T_0_885_10,885,1155,T_0_885_10,270,4.5,1
D_PT120,PT,0,seed_s_T_0_900_2,900,1170,T_0_900_2,270,4.5,1
D_PT121,PT,0,seed_s_T_0_900_4,900,1170,T_0_900_4,270,4.5,1
D_PT122,PT,0,seed_s_T_0_900_5,900,1170,T_0_900_5,270,4.5,1
D_PT123,PT,0,seed_s_T_0_900_6,900,1170,T_0_900_6,270,4.5,1
D_PT124,PT,0,seed_s_T_0_915_1,915,1185,T_0_915_1,270,4.5,1
D_PT125,PT,0,seed_s_T_0_915_2,915,1185,T_0_915_2,270,4.5,1
D_PT126,PT,0,seed_s_T_0_1140_2,1140,1410,T_0_1140_2,270,4.5,1
D_PT127,PT,0,seed_s_T_0_1155_1,1155,1425,T_0_1155_1,270,4.5,1
D_PT128,PT,0,seed_s_T_0_1170_1,1170,1439,T_0_1170_1,269,4.5,1
D_PT129,PT,0,seed_s_T_0_1170_2,1170,1439,T_0_1170_2,269,4.5,1
D_PT130,PT,0,seed_s_T_0_1170_3,1170,1439,T_0_1170_3,269,4.5,1
D_PT131,PT,0,seed_s_T_0_1170_4,1170,1439,T_0_1170_4,269,4.5,1
D_PT132,PT,1,seed_s_T_1_225_1,225,495,T_1_225_1,270,4.5,1
D_PT133,PT,1,seed_s_T_1_240_3,240,510,T_1_240_3,270,4.5,1
D_PT134,PT,1,seed_s_T_1_315_2,315,585,T_1_315_2,270,4.5,1
D_PT135,PT,1,seed_s_T_1_315_4,315,585,T_1_315_4,270,4.5,1
D_PT136,PT,1,seed_s_T_1_330_2,330,600,T_1_330_2,270,4.5,1
D_PT137,PT,1,seed_s_T_1_330_3,330,600,T_1_330_3,270,4.5,1
