run_id,window_h,status,drivers,lp_obj,mip_obj,pt_share,runtime
sweep_win_12h,12,SUCCESS,857,-1,22714.716666666667,98.48308051341891,1172.9668259620667
sweep_win_16h,16,SUCCESS,877,-1,23248.716666666667,99.65792474344356,1414.7919986248016
sweep_win_24h,24,SUCCESS,869,-1,inf,99.5397008055236,439.0060875415802
