tour_id,day,start_min,end_min,duration_min
T_0_795_3,0,795,1065,270
T_0_795_4,0,795,1065,270
T_0_795_5,0,795,1065,270
T_0_795_6,0,795,1065,270
T_0_810_1,0,810,1080,270
T_0_810_2,0,810,1080,270
T_0_810_3,0,810,1080,270
T_0_810_4,0,810,1080,270
T_0_810_5,0,810,1080,270
T_0_810_6,0,810,1080,270
T_0_825_1,0,825,1095,270
T_0_840_1,0,840,1110,270
T_0_840_2,0,840,1110,270
T_0_840_3,0,840,1110,270
T_0_840_4,0,840,1110,270
T_0_840_5,0,840,1110,270
T_0_840_6,0,840,1110,270
T_0_840_7,0,840,1110,270
T_0_855_1,0,855,1125,270
T_0_855_2,0,855,1125,270
T_0_855_3,0,855,1125,270
T_0_855_4,0,855,1125,270
T_0_855_5,0,855,1125,270
T_0_855_6,0,855,1125,270
T_0_855_7,0,855,1125,270
T_0_855_8,0,855,1125,270
T_0_870_1,0,870,1140,270
T_0_870_2,0,870,1140,270
T_0_870_3,0,870,1140,270
T_0_870_4,0,870,1140,270
T_0_870_5,0,870,1140,270
T_0_870_6,0,870,1140,270
T_0_870_7,0,870,1140,270
T_0_870_8,0,870,1140,270
T_0_870_9,0,870,1140,270
T_0_870_10,0,870,1140,270
T_0_870_11,0,870,1140,270
T_0_885_1,0,885,1155,270
T_0_885_2,0,885,1155,270
T_0_885_3,0,885,1155,270
T_0_885_4,0,885,1155,270
T_0_885_5,0,885,1155,270
T_0_885_6,0,885,1155,270
T_0_885_7,0,885,1155,270
T_0_885_8,0,885,1155,270
T_0_885_9,0,885,1155,270
T_0_885_10,0,885,1155,270
T_0_900_1,0,900,1170,270
T_0_900_2,0,900,1170,270
T_0_900_3,0,900,1170,270
T_0_900_4,0,900,1170,270
T_0_900_5,0,900,1170,270
T_0_900_6,0,900,1170,270
T_0_915_1,0,915,1185,270
T_0_915_2,0,915,1185,270
T_0_915_3,0,915,1185,270
T_0_930_1,0,930,1200,270
T_0_930_2,0,930,1200,270
T_0_945_1,0,945,1215,270
T_0_945_2,0,945,1215,270
T_0_960_1,0,960,1230,270
T_0_960_2,0,960,1230,270
T_0_975_1,0,975,1245,270
T_0_975_2,0,975,1245,270
T_0_990_1,0,990,1260,270
T_0_990_2,0,990,1260,270
T_0_1005_1,0,1005,1275,270
T_0_1005_2,0,1005,1275,270
T_0_1020_1,0,1020,1290,270
T_0_1020_2,0,1020,1290,270
T_0_1035_1,0,1035,1305,270
T_0_1035_2,0,1035,1305,270
T_0_1050_1,0,1050,1320,270
T_0_1050_2,0,1050,1320,270
T_0_1065_1,0,1065,1335,270
T_0_1065_2,0,1065,1335,270
T_0_1080_1,0,1080,1350,270
T_0_1080_2,0,1080,1350,270
T_0_1095_1,0,1095,1365,270
T_0_1095_2,0,1095,1365,270
T_0_1110_1,0,1110,1380,270
T_0_1110_2,0,1110,1380,270
T_0_1125_1,0,1125,1395,270
T_0_1125_2,0,1125,1395,270
T_0_1125_3,0,1125,1395,270
T_0_1140_1,0,1140,1410,270
T_0_1140_2,0,1140,1410,270
T_0_1155_1,0,1155,1425,270
T_0_1155_2,0,1155,1425,270
T_0_1170_1,0,1170,1439,269
T_0_1170_2,0,1170,1439,269
T_0_1170_3,0,1170,1439,269
T_0_1170_4,0,1170,1439,269
T_1_210_1,1,210,480,270
T_1_210_2,1,210,480,270
T_1_225_1,1,225,495,270
T_1_225_2,1,225,495,270
T_1_240_1,1,240,510,270
T_1_240_2,1,240,510,270
T_1_240_3,1,240,510,270
T_1_240_4,1,240,510,270
T_1_240_5,1,240,510,270
T_1_255_1,1,255,525,270
T_1_270_1,1,270,540,270
T_1_285_1,1,285,555,270
T_1_300_1,1,300,570,270
T_1_300_2,1,300,570,270
T_1_300_3,1,300,570,270
T_1_300_4,1,300,570,270
T_1_300_5,1,300,570,270
T_1_300_6,1,300,570,270
T_1_315_1,1,315,585,270
T_1_315_2,1,315,585,270
T_1_315_3,1,315,585,270
T_1_315_4,1,315,585,270
T_1_315_5,1,315,585,270
T_1_330_1,1,330,600,270
